ID;Accession ID;Fecha muestra;Linaje__autocolor;Departamento__autocolor;LATITUDE;LONGITUDE;DAY;MONTH;YEAR
hCoV-19/Colombia/ANT-INS-79256/2020|EPI_ISL_417924|2020-03-11;EPI_ISL_417924;11/03/2020;A.5;Antioquia;6,702032125;-75,50455704;11;3;2020
hCoV-19/Colombia/TOL-GUV-92052/2020|EPI_ISL_447757|2020-03-31;EPI_ISL_447757;31/03/2020;A.5;Tolima;4,03477252;-75,2558271;31;3;2020
hCoV-19/Colombia/DC-INS-79190/2020|EPI_ISL_456120|2020-03-12;EPI_ISL_456120;12/03/2020;B.1;Bogota;4,598022;-74,075889;12;3;2020
hCoV-19/Colombia/NSA-INS-80656/2020|EPI_ISL_456126|2020-03-18;EPI_ISL_456126;18/03/2020;B.1;Norte de Santander;8,09513751;-72,88188297;18;3;2020
hCoV-19/Colombia/VAC-INS-79943/2020|EPI_ISL_456138|2020-03-16;EPI_ISL_456138;16/03/2020;B.1;Valle del Cauca;3,569858693;-76,62850427;16;3;2020
hCoV-19/Colombia/ATL-INS-79743/2020|EPI_ISL_456145|2020-03-14;EPI_ISL_456145;14/03/2020;B.1;Atlantico;10,67700953;-74,96521949;14;3;2020
hCoV-19/Colombia/ANT-INS-82457/2020|EPI_ISL_456146|2020-03-20;EPI_ISL_456146;20/03/2020;B.1;Antioquia;6,702032125;-75,50455704;20;3;2020
hCoV-19/Colombia/VAC-INS-79965/2020|EPI_ISL_456150|2020-03-15;EPI_ISL_456150;15/03/2020;B.1;Valle del Cauca;3,569858693;-76,62850427;15;3;2020
hCoV-19/Colombia/VAC-INS-82320/2020|EPI_ISL_456151|2020-03-19;EPI_ISL_456151;19/03/2020;B.1;Valle del Cauca;3,569858693;-76,62850427;19;3;2020
hCoV-19/Colombia/RIS-INS-80245/2020|EPI_ISL_456155|2020-03-16;EPI_ISL_456155;16/03/2020;B.1;Risaralda;5,240757239;-76,00244469;16;3;2020
hCoV-19/Colombia/RIS-INS-81402/2020|EPI_ISL_497736|2020-03-18;EPI_ISL_497736;18/03/2020;B.1;Risaralda;5,240757239;-76,00244469;18;3;2020
hCoV-19/Colombia/NAR-INS-103313/2020|EPI_ISL_526956|2020-04-28;EPI_ISL_526956;28/04/2020;B.1.1;Nariño;1,2059;-77,2858;28;4;2020
hCoV-19/Colombia/NSA-NS-79852/2020|EPI_ISL_653752|2020-03-14;EPI_ISL_653752;14/03/2020;B.1;Norte de Santander;8,09513751;-72,88188297;14;3;2020
hCoV-19/Colombia/GUR-06537/2020|EPI_ISL_941981|2020-04-30;EPI_ISL_941981;30/04/2020;B.1.1;Nariño;1,2059;-77,2858;30;4;2020
hCoV-19/Colombia/GUR-06614/2020|EPI_ISL_941983|2020-04-23;EPI_ISL_941983;23/04/2020;B.1.1;Nariño;1,2059;-77,2858;23;4;2020
hCoV-19/Colombia/GVI-133304/2020|EPI_ISL_941986|2020-05-29;EPI_ISL_941986;29/05/2020;B.1.1;Norte de Santander;8,09513751;-72,88188297;29;5;2020
hCoV-19/Colombia/GUR-37097/2020|EPI_ISL_941995|2020-06-23;EPI_ISL_941995;23/06/2020;B.1.1;Atlantico;10,67700953;-74,96521949;23;6;2020
